Compound Name,Attrition resistance,Thermal Stability,Average particle size,Particle size distribution,density,rare earth oxides,catalyst surface area,micropore surface area,zeolite surface area,X-ray fluorescence
Compound_55,99.08,781.85,3.06,1.84,1.233,1.79,78.39,70.44,308.12,0.7723
Compound_56,90.4,855.65,5.97,1.62,1.414,2.02,83.5,12.59,402.05,0.6203
Compound_57,94.08,663.89,2.23,0.53,1.045,2.95,148.06,49.37,461.66,0.3483
Compound_58,90.28,835.1,4.57,1.74,1.404,4.75,86.77,93.39,296.85,0.2582
Compound_59,89.18,894.01,5.43,1.16,1.243,1.2,68.97,21.6,151.22,0.1519
Compound_60,82.78,792.26,2.64,1.19,1.428,2.37,216.89,25.51,176.92,0.0409
Compound_61,83.38,683.58,2.59,0.68,0.884,2.3,101.58,42.78,301.37,0.6904
Compound_62,80.79,839.82,6.65,0.66,1.412,4.6,65.27,34.92,422.48,0.7483
Compound_63,83.69,662.8,4.33,1.47,1.233,1.84,165.63,77.27,114.67,0.2524
Compound_64,94.27,868.56,5.61,1.56,0.875,2.24,183.15,31.82,207.7,0.3773
Compound_65,80.4,696.62,2.9,1.15,0.884,4.45,198.4,71.12,415.67,0.4984
Compound_66,81.74,761.13,6.28,1.99,1.102,0.64,120.94,42.68,358.37,0.5708
Compound_67,87.12,895.95,6.45,0.97,0.871,0.76,111.49,24.46,174.63,0.2851
Compound_68,83.47,869.03,1.72,1.55,1.087,4.91,78.01,45.81,487.79,0.8655
Compound_69,96.34,677.37,2.54,1.84,1.451,2.78,192.9,35.2,407.8,0.187
Compound_70,86.47,727.63,5.57,0.98,0.88,3.05,122.16,62.31,161.75,0.4811
Compound_71,90.65,615.55,4.03,0.77,0.844,4.95,130.59,82.89,201.86,0.6815
Compound_72,95.2,778.69,5.24,1.32,1.044,4.65,257.65,96.85,149.72,0.7309
Compound_73,98.77,654.37,1.6,1.98,1.202,4.21,84.94,81.57,180.65,0.1637
Compound_74,83.29,844.37,6.99,1.55,1.051,4.39,148.11,83.49,275.65,0.3769
Compound_75,89.25,690.41,7.73,1.51,0.963,4.5,145.97,58.92,462.59,0.6242
Compound_76,82.34,881.95,6.65,1.17,0.897,3.97,205.02,58.01,457.56,0.7886
Compound_77,83.03,693.52,3.24,1.99,0.823,2.85,240.61,88.91,236.83,0.8213
Compound_78,82.21,853.94,2.15,1.29,1.358,0.75,107.31,75.0,388.01,0.6411
Compound_79,93.88,762.82,3.27,1.19,0.927,4.54,195.85,46.08,284.8,0.9473
Compound_80,83.07,775.87,5.55,1.72,0.813,4.36,283.03,60.86,378.66,0.9225
Compound_81,94.14,645.76,6.19,1.71,1.097,3.68,283.59,93.3,280.34,0.1132
Compound_82,99.7,851.67,2.12,2.34,1.409,2.59,197.82,45.91,121.9,0.3352
Compound_83,96.06,601.39,4.0,1.3,1.176,4.6,136.59,41.23,395.0,0.4522
Compound_84,84.49,735.73,2.27,0.85,1.149,2.09,278.71,42.62,332.24,0.6323
Compound_85,80.26,799.06,2.6,2.42,0.904,2.07,71.34,99.72,300.88,0.5954
Compound_86,81.34,824.99,2.89,2.3,0.944,0.95,59.14,52.49,325.94,0.0657
Compound_87,95.51,735.99,5.72,1.38,1.081,2.8,88.81,26.37,444.71,0.9461
Compound_88,87.47,681.22,6.8,1.32,0.818,0.78,228.99,69.3,110.84,0.222
Compound_89,84.62,801.57,1.18,0.71,1.36,0.89,213.19,31.44,139.78,0.2432
Compound_90,94.45,856.71,8.47,1.29,1.268,1.02,123.29,90.67,105.2,0.0855
Compound_91,84.16,607.96,2.63,1.67,1.095,4.46,254.36,40.76,203.77,0.3797
Compound_92,91.81,680.42,6.62,1.32,1.186,2.18,123.62,95.36,405.44,0.1401
Compound_93,97.37,746.23,9.05,2.1,1.098,0.11,117.17,58.75,353.39,0.2579
Compound_94,82.79,850.48,9.86,1.55,0.92,1.36,54.6,92.29,147.1,0.5765
Compound_95,85.48,766.25,6.86,2.16,0.944,0.05,84.22,91.0,449.56,0.5974
Compound_96,92.01,799.51,2.58,2.33,1.093,1.92,179.73,14.23,166.51,0.738
Compound_97,81.66,780.95,3.21,1.28,1.002,1.78,229.76,36.74,326.56,0.4761
Compound_98,93.27,881.05,7.59,0.93,0.822,1.31,198.77,14.63,298.55,0.5968
Compound_99,86.68,831.27,1.96,0.65,1.31,2.48,222.1,49.13,198.56,0.8191
Compound_100,95.99,808.41,3.45,1.68,1.053,0.46,279.33,22.31,480.09,0.446
Compound_101,83.7,762.57,8.86,1.96,1.365,3.29,223.07,86.43,199.87,0.4894
Compound_102,84.42,896.3,9.5,0.58,1.294,4.63,95.14,61.12,466.2,0.0339
Compound_103,93.95,689.2,9.32,2.44,1.461,2.37,265.51,86.01,227.64,0.8289
Compound_104,80.74,778.88,3.07,0.74,0.854,3.48,134.97,75.23,126.14,0.3153
Compound_105,90.79,837.22,3.87,1.75,1.42,3.08,108.24,12.2,448.04,0.0213
Compound_106,97.49,758.68,9.45,2.1,1.499,1.75,241.8,46.17,291.95,0.6275
Compound_107,97.47,895.23,7.91,1.34,1.095,3.69,109.69,19.94,241.85,0.2872
Compound_108,85.93,670.08,1.38,0.54,1.491,2.14,146.08,71.17,187.3,0.95
Compound_109,95.73,626.82,4.76,2.26,1.461,2.34,203.35,25.03,496.47,0.2317
Compound_110,98.85,794.89,6.47,1.53,0.961,0.88,105.12,26.78,411.83,0.3501
Compound_111,81.16,890.73,8.95,2.36,1.496,0.87,149.06,78.24,378.41,0.1539
Compound_112,96.32,667.33,3.01,1.57,1.215,2.9,72.87,88.97,206.24,0.1295
Compound_113,97.77,886.7,8.76,2.12,1.259,2.75,71.75,46.76,249.08,0.2598
Compound_114,94.47,748.76,1.73,0.94,1.278,0.38,262.8,54.56,292.23,0.5924
Compound_115,96.49,704.34,7.1,1.63,0.987,4.39,249.36,69.26,440.23,0.8673
Compound_116,94.17,851.1,7.28,1.86,1.233,3.76,89.65,89.28,448.74,0.0292
Compound_117,96.52,638.66,4.02,1.99,0.913,4.09,258.03,55.67,102.55,0.287
Compound_118,92.34,894.36,6.69,1.02,1.244,2.7,244.96,19.63,404.41,0.5413
Compound_119,99.26,702.56,6.69,2.36,0.872,4.69,221.97,16.11,220.39,0.7082
Compound_120,81.35,774.65,4.11,1.74,0.832,4.36,293.37,97.2,399.86,0.1301
Compound_121,95.17,607.38,1.2,1.15,1.142,3.85,220.82,50.13,209.45,0.9971
Compound_122,88.52,735.42,2.47,2.09,1.286,1.1,70.6,71.24,361.8,0.2733
Compound_123,99.02,645.32,4.89,2.39,1.094,3.19,149.4,34.68,493.59,0.4093
Compound_124,97.88,668.99,2.92,0.56,1.256,1.84,266.09,52.59,487.28,0.1855
Compound_125,97.37,832.98,7.94,2.19,1.333,3.13,82.81,12.93,468.34,0.6167
Compound_126,95.93,744.46,2.06,0.75,1.28,2.15,100.13,54.24,125.68,0.582
Compound_127,85.38,839.27,3.79,1.41,0.808,0.36,148.12,53.19,340.01,0.2917
Compound_128,93.9,858.04,8.02,0.58,1.136,0.52,110.51,98.8,157.0,0.4989
Compound_129,92.36,810.74,6.04,0.52,1.029,2.59,71.97,41.56,113.28,0.0786
Compound_130,87.94,639.81,6.11,1.88,1.36,1.0,91.87,19.41,354.57,0.7065
Compound_131,80.63,880.86,1.47,1.58,1.296,4.35,228.52,82.16,235.78,0.8148
Compound_132,81.6,868.44,5.93,2.13,1.117,3.22,181.6,75.84,132.65,0.0604
Compound_133,84.94,647.86,8.85,0.94,1.483,1.68,95.53,81.07,363.48,0.4982
Compound_134,91.11,815.76,3.06,2.49,1.482,3.25,99.89,71.22,128.88,0.0307
Compound_135,85.15,738.79,8.81,1.95,1.32,2.13,136.48,43.39,495.06,0.0401
Compound_136,97.34,773.6,4.95,1.95,1.141,4.37,275.18,47.95,210.73,0.5924
Compound_137,98.25,663.2,6.61,1.76,1.313,0.66,228.96,91.81,171.87,0.2375
Compound_138,99.43,654.29,8.69,1.48,0.973,4.35,161.33,56.33,243.69,0.593
Compound_139,83.27,717.32,9.72,1.02,1.26,1.63,243.37,21.78,487.93,0.4538
Compound_140,84.72,622.05,2.53,1.54,1.036,4.14,157.72,32.38,346.86,0.7068
Compound_141,83.34,650.29,1.33,1.97,1.265,2.37,261.04,82.51,334.14,0.8683
Compound_142,84.12,633.58,3.43,0.61,1.172,4.68,59.84,20.99,280.88,0.9339
Compound_143,86.32,752.17,1.37,0.8,1.491,4.83,51.23,95.66,355.65,0.8679
Compound_144,89.09,754.68,5.4,1.83,0.898,0.15,126.98,73.42,180.74,0.6734
Compound_145,99.4,628.17,7.05,1.39,1.408,0.89,223.16,85.43,477.85,0.6832
Compound_146,89.94,785.35,8.82,1.64,0.821,4.65,222.38,70.89,186.27,0.6589
Compound_147,87.88,795.37,1.96,1.82,1.5,0.24,294.29,46.62,448.3,0.7824
Compound_148,91.34,821.53,8.91,1.31,1.029,3.34,251.96,78.61,419.13,0.4356
Compound_149,96.36,636.06,5.9,0.51,1.027,1.83,149.04,72.59,255.42,0.4487
Compound_150,84.75,711.98,3.05,0.65,1.222,3.34,204.87,51.71,251.91,0.8633
Compound_151,90.38,743.75,1.23,1.18,1.066,1.99,195.04,58.02,343.16,0.7649
Compound_152,96.26,815.44,9.6,0.54,0.937,0.04,211.87,90.82,197.39,0.927
Compound_153,81.21,880.33,4.16,0.7,1.14,1.28,121.22,37.66,421.21,0.5392
Compound_154,86.23,783.1,7.45,1.05,1.089,0.61,95.29,71.3,172.58,0.5252
Compound_155,94.18,632.06,6.11,1.01,1.474,2.42,251.5,59.52,117.37,0.6332
Compound_156,99.03,780.48,8.37,2.27,0.96,1.06,202.75,46.99,435.94,0.9
Compound_157,87.07,671.06,8.02,1.05,1.376,2.12,216.89,18.6,349.54,0.4518
Compound_158,91.73,650.4,7.63,2.23,0.952,0.48,55.91,67.78,342.84,0.5467
Compound_159,84.64,717.27,6.35,1.49,1.491,0.68,223.79,46.39,271.28,0.7176
Compound_160,93.85,897.38,2.16,0.71,1.307,2.89,118.54,17.15,134.26,0.8942
Compound_161,83.84,697.01,3.04,1.21,0.849,2.6,66.9,82.03,193.48,0.54
Compound_162,97.6,795.26,5.8,1.15,1.033,3.35,298.53,69.57,323.11,0.7307
Compound_163,89.3,618.04,6.06,2.42,0.923,3.45,100.23,58.22,138.67,0.4504
Compound_164,95.12,704.27,6.98,2.09,1.449,1.17,149.83,23.72,496.99,0.927
Compound_165,90.8,852.61,5.69,1.75,0.862,3.78,81.93,84.35,412.81,0.7087
Compound_166,80.72,690.94,3.37,1.22,0.861,4.68,188.45,37.5,258.79,0.4472
Compound_167,92.01,754.7,9.27,1.49,1.495,4.26,102.13,93.75,146.55,0.8174
Compound_168,87.61,863.39,8.81,2.11,1.353,1.52,70.23,46.27,169.41,0.695
Compound_169,86.92,892.68,6.77,2.14,0.893,4.31,280.69,53.84,342.5,0.7648
Compound_170,83.5,750.77,4.59,0.79,1.057,0.34,56.45,22.16,485.25,0.5495
Compound_171,99.32,729.75,3.81,1.51,1.108,0.53,210.21,29.44,347.84,0.6502
Compound_172,83.04,618.4,8.03,1.42,0.841,4.97,64.45,72.55,493.47,0.2392
Compound_173,82.84,636.42,3.73,0.7,1.285,0.31,177.36,99.7,425.59,0.6152
Compound_174,86.13,787.17,5.74,1.35,0.891,4.43,162.45,27.52,247.1,0.4141
Compound_175,96.55,820.08,7.92,0.52,1.091,2.41,54.8,33.38,404.12,0.1371
Compound_176,90.71,664.56,1.11,0.98,1.483,4.01,289.89,53.91,143.89,0.548
Compound_177,89.09,853.31,1.88,1.48,0.905,1.62,234.34,52.84,250.36,0.3945
Compound_178,89.19,835.5,9.03,2.41,1.351,1.58,222.03,49.38,201.87,0.8409
Compound_179,80.77,870.53,5.15,1.77,1.262,4.48,209.17,65.25,126.66,0.5184
Compound_180,83.0,821.23,5.61,1.86,0.829,0.42,229.08,16.49,128.5,0.0121
Compound_181,99.13,821.25,4.18,1.09,1.045,3.87,215.34,26.67,169.64,0.0984
Compound_182,93.21,829.31,3.39,0.54,0.858,4.84,123.86,79.23,349.87,0.3819
Compound_183,84.11,636.42,6.54,2.05,1.251,2.65,60.49,97.16,419.49,0.2928
Compound_184,99.6,780.56,6.24,2.0,1.368,3.28,82.02,40.44,471.23,0.2246
Compound_185,87.44,729.62,4.95,1.73,1.46,1.2,80.38,27.77,454.77,0.6458
Compound_186,85.72,844.78,8.75,2.19,1.443,1.26,238.76,51.45,436.8,0.7285
Compound_187,95.53,796.85,2.6,1.59,1.489,4.69,60.79,24.83,152.69,0.726
Compound_188,96.36,664.05,5.55,2.18,1.313,2.71,197.59,55.75,219.02,0.565
Compound_189,93.78,862.0,6.73,2.02,0.912,2.31,52.33,32.2,390.58,0.9918
Compound_190,81.98,720.45,8.2,0.91,1.189,3.67,204.0,26.92,242.15,0.7838
Compound_191,91.08,601.57,7.85,0.57,1.322,1.01,289.52,43.11,230.77,0.1489
Compound_192,86.11,863.0,9.97,1.24,1.114,3.61,271.55,63.37,256.61,0.4126
Compound_193,93.91,600.97,6.58,1.21,1.356,0.46,197.05,53.29,356.93,0.0649
Compound_194,91.6,768.45,6.05,1.71,1.274,4.02,117.46,84.25,299.3,0.0771
Compound_195,81.17,700.27,8.06,1.92,1.352,2.59,160.05,23.27,231.28,0.434
Compound_196,81.77,666.18,6.38,1.97,1.499,4.67,210.64,47.91,354.47,0.7857
Compound_197,82.37,722.97,8.56,1.27,1.2,2.94,96.12,42.6,233.8,0.0262
Compound_198,80.48,849.51,3.46,1.54,1.009,4.7,114.82,48.67,449.09,0.8419
Compound_199,83.72,840.79,5.12,1.47,0.893,0.4,231.98,54.68,274.74,0.7295
Compound_200,95.31,647.67,6.49,0.77,1.326,3.28,289.15,16.21,122.82,0.2822
Compound_201,85.23,674.09,9.16,1.0,0.99,3.8,162.43,79.9,126.15,0.4876
Compound_202,80.67,618.8,9.16,0.78,1.173,2.06,136.84,90.99,108.73,0.6638
Compound_203,99.27,768.05,9.43,0.6,1.093,1.3,232.71,98.32,202.61,0.6542
Compound_204,83.96,769.6,5.18,2.44,1.226,1.75,78.52,23.61,190.13,0.251
Compound_205,97.01,768.37,5.71,0.73,1.402,3.61,66.92,73.71,317.42,0.0817
Compound_206,89.17,745.41,2.49,2.39,1.395,3.35,165.57,47.06,360.39,0.5454
Compound_207,81.25,753.75,8.26,1.42,0.836,3.93,100.34,33.28,165.88,0.3302
Compound_208,95.14,755.82,2.84,2.26,1.416,4.35,109.7,50.61,494.0,0.772
Compound_209,80.54,619.56,5.18,2.32,1.177,2.49,76.37,69.11,428.84,0.3804
Compound_210,95.51,889.34,2.83,1.55,1.001,3.96,194.4,67.11,419.17,0.396
Compound_211,98.3,759.91,2.42,1.89,1.355,1.58,264.29,91.55,210.76,0.9835
Compound_212,82.81,660.6,2.66,2.29,1.258,0.76,160.08,65.38,133.39,0.8824
Compound_213,96.07,751.56,9.7,1.34,1.489,3.34,208.67,24.94,452.77,0.4275
Compound_214,83.24,603.78,6.04,1.55,1.304,4.45,69.85,75.83,174.96,0.8582
Compound_215,96.38,762.24,7.39,1.13,1.13,4.11,164.82,42.2,297.68,0.8282
Compound_216,86.7,652.13,7.41,2.15,0.87,1.2,85.49,41.31,280.14,0.7488
Compound_217,93.02,786.28,4.17,2.18,1.13,4.9,208.54,21.36,370.47,0.3251
Compound_218,93.73,620.89,2.57,2.21,0.959,4.19,119.82,67.86,377.66,0.5127
Compound_219,86.11,663.79,1.3,1.11,1.257,4.69,267.8,78.95,415.38,0.665
Compound_220,85.21,872.16,7.04,1.62,0.878,2.24,165.09,87.81,318.66,0.3804
Compound_221,99.54,633.22,4.8,0.58,1.318,4.59,120.01,87.25,216.89,0.9108
Compound_222,95.08,841.47,1.16,2.43,1.309,1.52,257.35,35.34,449.1,0.1126
Compound_223,94.07,762.21,1.87,0.98,0.809,2.34,125.32,63.85,218.9,0.2999
Compound_224,94.86,614.44,9.13,2.2,1.267,2.97,273.08,26.68,131.59,0.2395
Compound_225,95.89,610.4,6.25,2.49,1.399,2.61,65.91,84.82,339.59,0.1149
Compound_226,81.88,872.89,7.02,2.16,1.415,2.86,179.36,48.74,226.78,0.4346
Compound_227,95.48,780.58,9.03,1.39,1.225,3.16,197.92,73.24,194.97,0.5124
Compound_228,82.08,715.35,5.39,1.8,1.465,3.0,235.9,55.56,353.64,0.0709
Compound_229,85.09,708.56,5.25,0.59,0.898,1.38,292.88,39.82,292.82,0.1961
Compound_230,92.22,684.2,2.86,1.53,0.804,0.04,104.77,13.3,143.21,0.3389
Compound_231,96.05,771.61,5.61,1.09,1.452,1.99,71.77,65.54,145.54,0.3452
Compound_232,90.15,862.27,5.44,1.9,1.495,0.66,118.68,45.51,268.73,0.411
Compound_233,98.15,814.21,6.47,1.12,1.377,4.78,255.3,10.14,354.56,0.0511
Compound_234,85.15,617.86,6.43,1.87,0.88,1.92,164.06,43.21,148.41,0.4189
Compound_235,95.02,621.3,1.72,1.21,1.459,3.34,219.67,42.57,337.46,0.0101
Compound_236,92.72,873.99,6.51,2.25,1.307,0.6,275.61,15.98,313.59,0.1421
Compound_237,80.23,726.61,3.66,1.47,1.204,0.22,80.75,60.28,237.27,0.7292
Compound_238,93.05,853.68,7.23,1.36,1.271,1.38,126.58,81.01,278.57,0.7984
Compound_239,96.45,857.27,9.25,1.36,1.023,2.91,142.79,64.1,382.23,0.6884
Compound_240,87.49,650.06,4.87,0.79,1.423,1.73,88.61,12.29,358.33,0.6369
Compound_241,86.81,621.51,4.69,1.12,1.274,3.03,141.15,29.61,495.21,0.454
Compound_242,93.77,642.17,5.37,0.56,1.154,4.82,146.05,13.51,112.38,0.388
Compound_243,83.2,607.01,7.81,1.42,1.002,4.5,79.03,96.03,225.59,0.8884
Compound_244,92.06,848.01,9.86,1.08,1.473,1.95,146.38,40.63,316.56,0.1541
Compound_245,91.07,762.51,7.86,2.17,1.108,1.51,114.83,27.52,123.06,0.3424
Compound_246,85.4,889.93,6.02,1.19,1.206,0.7,161.01,66.36,295.56,0.4018
Compound_247,99.88,864.09,6.61,1.64,1.234,1.01,148.78,13.55,290.22,0.543
Compound_248,84.55,889.21,9.19,1.94,1.173,4.35,82.66,81.15,149.93,0.7942
Compound_249,85.52,863.13,9.5,0.8,1.124,4.9,170.85,87.72,335.49,0.3753
Compound_250,85.72,660.97,7.86,1.27,1.158,2.46,194.32,87.9,492.3,0.4076
Compound_251,96.55,829.36,6.16,2.41,0.94,0.55,263.49,49.52,438.79,0.8931
Compound_252,81.25,865.04,5.03,1.52,1.239,4.63,54.78,52.92,375.09,0.7227
Compound_253,93.85,640.33,3.69,1.22,1.363,1.39,102.68,96.17,103.55,0.9978
Compound_254,93.54,848.54,3.65,0.53,1.317,4.17,235.12,22.86,401.37,0.7689
Compound_255,93.17,829.83,8.61,1.73,0.862,2.44,69.41,46.68,262.84,0.066
Compound_256,86.98,633.3,8.27,2.4,0.851,4.78,180.64,36.96,130.74,0.5006
Compound_257,95.89,812.13,1.45,0.65,1.082,1.48,108.1,35.29,421.39,0.9292
Compound_258,88.1,871.83,3.89,1.45,0.958,3.2,294.75,64.31,243.13,0.6478
Compound_259,82.46,866.6,5.53,1.4,1.21,3.12,67.94,71.44,196.77,0.714
Compound_260,96.45,841.19,5.97,1.54,0.9,3.88,117.85,54.7,213.71,0.1338
Compound_261,92.59,616.3,7.74,1.14,0.8,2.56,61.71,34.86,382.79,0.0627
Compound_262,96.79,601.15,3.22,1.98,1.021,0.51,140.06,34.34,437.08,0.3133
Compound_263,95.78,867.56,4.9,2.32,1.064,4.82,72.32,71.83,297.53,0.3876
Compound_264,92.65,811.16,1.04,0.83,1.299,3.33,291.51,78.49,480.31,0.7025
Compound_265,85.96,631.61,8.04,1.79,0.834,1.8,289.2,55.04,273.09,0.4577
Compound_266,84.18,710.61,4.33,0.6,1.337,2.08,255.54,86.53,184.8,0.6574
Compound_267,89.45,864.05,2.94,1.86,1.225,1.48,84.15,68.65,395.44,0.3156
Compound_268,92.9,718.54,7.42,0.9,1.423,1.44,141.95,15.23,144.6,0.5159
Compound_269,85.35,850.64,1.13,1.26,1.036,0.1,81.09,47.23,297.15,0.4043
Compound_270,90.62,778.54,1.09,1.43,1.474,2.6,219.39,38.07,409.6,0.7729
Compound_271,90.43,892.8,2.13,0.53,1.339,4.04,80.05,33.9,107.02,0.2933
Compound_272,95.46,755.39,4.13,1.24,0.801,1.5,211.61,97.68,438.82,0.0236
Compound_273,97.97,834.96,8.02,1.42,1.079,1.51,66.42,30.54,198.64,0.4841
Compound_274,94.95,742.14,1.52,2.42,1.46,3.93,297.83,59.0,485.11,0.0756
Compound_275,87.31,667.61,2.76,0.78,1.236,3.91,194.57,23.23,424.45,0.636
Compound_276,87.76,802.24,3.34,1.19,1.442,1.45,167.5,90.11,383.09,0.0622
Compound_277,82.95,602.35,6.68,1.4,0.894,4.79,182.41,31.77,300.24,0.6796
Compound_278,81.52,682.41,8.26,1.42,1.183,2.16,60.97,24.92,278.22,0.2092
Compound_279,81.0,853.09,9.83,2.09,1.398,1.21,290.16,27.72,480.57,0.9948
Compound_280,94.23,894.34,6.13,1.02,1.106,2.97,68.27,66.01,492.47,0.1901
Compound_281,95.85,872.37,9.49,2.42,1.165,4.89,239.33,24.55,290.76,0.7183
Compound_282,84.95,792.18,7.0,0.83,1.196,3.86,174.72,11.09,103.62,0.357
Compound_283,98.52,668.6,6.71,0.94,1.025,4.24,232.22,18.59,271.48,0.0292
Compound_284,89.62,798.73,2.07,1.08,1.078,4.6,298.31,14.04,404.4,0.3717
Compound_285,87.85,826.28,9.27,2.4,1.204,1.79,246.89,32.59,325.63,0.3586
Compound_286,93.13,672.12,2.72,2.34,0.871,2.53,105.21,13.5,114.41,0.1752
Compound_287,97.34,684.74,9.55,1.66,1.106,2.9,179.17,78.29,213.0,0.3531
Compound_288,97.88,883.94,9.03,1.34,1.346,2.38,174.38,28.42,336.45,0.1861
Compound_289,86.63,856.51,2.86,0.64,0.848,4.7,176.73,46.85,424.35,0.8358
Compound_290,86.64,808.09,7.94,1.81,0.906,4.38,184.77,35.42,270.09,0.0376
Compound_291,82.56,829.66,1.0,1.33,1.166,0.27,293.27,30.35,221.68,0.3039
Compound_292,84.61,600.44,7.56,2.43,0.957,3.32,235.47,86.36,269.05,0.3029
Compound_293,86.51,813.79,8.35,0.86,1.06,4.51,251.67,98.64,401.7,0.3932
Compound_294,91.81,798.3,1.71,1.59,1.297,0.84,245.16,62.54,480.89,0.0424
Compound_295,85.31,780.47,3.67,1.93,1.331,0.51,178.46,55.8,247.71,0.9329
