Compound Name,Lot,Attrition resistance,Thermal Stability,Average particle size,Particle size distribution,density,rare earth oxides,catalyst surface area,micropore surface area,zeolite surface area,X-ray fluorescence
Compound_7,Lot_3,83.9084,673.9967,8.4494,1.1672,1.0337,2.6515,87.6421,83.6056,131.0928,0.9565
Compound_8,Lot_1,92.7744,629.7526,1.0228,2.0971,1.3381,3.6012,249.0027,16.5591,250.3234,0.1214
Compound_8,Lot_2,92.957,683.5104,1.0628,2.1976,1.3146,3.6222,236.2171,15.9437,244.2545,0.1216
Compound_8,Lot_3,97.7119,648.2215,1.0844,2.1873,1.2667,3.4727,233.5482,17.2886,251.5816,0.1135
Compound_9,Lot_1,95.1708,810.0382,4.1542,0.6476,1.0287,1.5881,232.9984,65.5844,468.9011,0.4669
Compound_9,Lot_2,100.5055,777.6728,4.109,0.6195,1.0119,1.6488,222.4135,70.4,458.2383,0.4726
Compound_9,Lot_3,100.5609,815.7752,3.9889,0.6569,0.9737,1.567,234.6494,66.3967,453.2626,0.4641
Compound_10,Lot_1,81.605,840.2324,7.9234,1.7006,1.3784,2.4141,176.4222,47.6844,113.9517,0.1028
Compound_10,Lot_2,80.167,846.9291,7.9598,1.5757,1.3024,2.5596,187.7944,47.2977,109.2943,0.1115
Compound_10,Lot_3,84.6228,839.5218,7.8644,1.6867,1.3167,2.3852,184.4514,48.6708,114.0765,0.1034
Compound_11,Lot_1,83.4012,774.5713,3.8893,1.4501,1.4507,1.2772,150.5971,75.7802,192.2407,0.0796
Compound_11,Lot_2,79.2073,771.3423,3.7453,1.5883,1.4148,1.188,156.8985,79.5543,184.4063,0.0807
Compound_11,Lot_3,81.5013,790.9817,3.7849,1.5806,1.3983,1.2232,146.838,80.0211,193.35,0.0778
Compound_12,Lot_1,83.3845,658.1713,9.6187,2.0899,1.2805,4.2941,257.3972,25.5409,459.3583,0.5646
Compound_12,Lot_2,89.9291,634.2195,9.3151,2.0274,1.2894,4.3899,248.0369,25.7526,477.4382,0.5409
Compound_12,Lot_3,83.9375,638.6584,9.1551,2.1416,1.2964,4.5155,249.9259,27.6647,453.5058,0.5259
Compound_13,Lot_1,100.798,851.7912,3.792,0.7553,0.9249,2.1958,265.5914,87.5732,97.6669,0.5043
Compound_13,Lot_2,92.4152,861.5481,3.972,0.7156,0.9535,2.1522,256.579,90.5865,100.8103,0.5271
Compound_13,Lot_3,96.784,851.4994,3.7809,0.71,0.9718,2.0824,265.1975,88.1253,107.0969,0.4875
Compound_14,Lot_1,86.9595,634.8189,2.0326,1.2227,1.3923,1.6097,172.8277,72.6607,253.7671,0.9838
Compound_14,Lot_2,90.4417,656.5708,2.1724,1.2047,1.4486,1.6081,187.2238,73.8298,250.5156,0.9637
Compound_14,Lot_3,85.9088,681.5331,2.1024,1.1802,1.4781,1.5727,184.9821,76.5537,255.0496,0.9544
Compound_15,Lot_1,98.3171,696.3635,5.5321,1.1053,1.0416,0.1806,202.6923,52.7101,115.3976,0.2649
Compound_15,Lot_2,103.3514,669.3412,5.4628,1.138,1.0099,0.182,198.2721,57.0845,116.5602,0.2662
Compound_15,Lot_3,96.1892,659.84,5.3607,1.1188,0.9708,0.1832,194.1149,53.2911,120.6964,0.2904
Compound_16,Lot_1,101.6999,703.3641,2.3346,1.506,1.5086,1.2249,210.3362,78.8936,192.8376,0.724
Compound_16,Lot_2,98.4017,646.9031,2.2677,1.4154,1.5615,1.1638,212.7651,81.6236,194.7227,0.7017
Compound_16,Lot_3,97.0335,646.0613,2.231,1.4137,1.4808,1.2471,219.9044,79.3853,189.2196,0.7168
Compound_17,Lot_1,90.376,757.1434,6.9398,1.5674,0.8921,4.1039,128.1017,27.464,119.6248,0.5749
Compound_17,Lot_2,91.491,756.8776,6.4109,1.585,0.8822,4.3727,128.9624,25.5183,117.5068,0.5785
Compound_17,Lot_3,86.7742,788.7794,6.4082,1.5678,0.8566,4.2688,132.0966,25.9467,112.8921,0.5762
Compound_18,Lot_1,90.5466,614.4911,5.8874,0.9645,1.2654,0.8622,218.5556,46.652,496.953,0.1375
Compound_18,Lot_2,91.5873,621.3219,5.4038,0.9752,1.2919,0.8374,233.3511,46.9856,495.4206,0.1374
Compound_18,Lot_3,91.1745,609.9414,5.5651,0.9221,1.2424,0.8843,213.173,44.0635,451.8002,0.1409
Compound_19,Lot_1,88.0415,606.3117,9.7531,2.1426,0.9898,3.3912,261.6315,57.1771,324.5345,0.252
Compound_19,Lot_2,87.353,632.904,8.8958,2.2639,0.9721,3.39,251.8657,61.0709,299.4295,0.233
Compound_19,Lot_3,83.692,605.2245,9.3585,2.3161,0.9918,3.3247,258.9034,59.0084,307.5549,0.2374
Compound_20,Lot_1,83.5963,839.7511,8.6569,1.787,1.0829,1.7691,238.0394,92.3079,454.7134,0.7969
Compound_20,Lot_2,84.5131,845.2348,8.9509,1.7211,1.032,1.8174,227.9067,89.6009,471.2206,0.7811
Compound_20,Lot_3,82.1502,900.5194,9.0914,1.8021,0.994,1.6938,229.2764,90.6932,476.013,0.8166
Compound_21,Lot_1,96.1005,613.7105,2.5637,2.3435,1.2119,0.051,71.726,67.253,105.3835,0.1631
Compound_21,Lot_2,91.5792,625.2817,2.5493,2.3303,1.2125,0.0481,73.8155,73.055,101.381,0.1603
Compound_21,Lot_3,92.827,649.2557,2.4755,2.3445,1.2115,0.0476,78.6182,72.8513,106.6023,0.1679
Compound_22,Lot_1,93.8378,822.4774,7.1067,0.9596,1.2515,1.1771,137.5405,76.0311,373.0863,0.8147
Compound_22,Lot_2,89.4616,795.5334,6.562,0.9138,1.2591,1.2302,125.6153,75.6264,342.2236,0.8658
Compound_22,Lot_3,92.0644,819.2783,6.7837,0.9223,1.3276,1.227,126.603,77.0783,350.8075,0.821
Compound_23,Lot_1,95.3327,773.4253,1.7878,1.2164,1.032,1.2625,304.3919,45.1985,462.4758,0.6233
Compound_23,Lot_2,89.2164,762.8675,1.8573,1.2136,1.0203,1.1774,289.3536,43.6778,452.4725,0.602
Compound_23,Lot_3,91.0313,762.8418,1.836,1.2454,0.9638,1.2228,293.5141,44.5458,471.9042,0.634
Compound_24,Lot_1,94.2915,784.3757,6.4036,1.5619,0.955,3.566,117.5562,12.3891,375.4124,0.1793
Compound_24,Lot_2,99.5597,737.9593,6.1324,1.5505,0.9611,3.7838,123.4924,12.1272,359.3028,0.1842
Compound_24,Lot_3,96.3953,732.4255,6.1501,1.4924,0.8992,3.698,115.4948,12.0741,369.1013,0.1765
Compound_25,Lot_1,102.1895,872.1678,9.6524,1.204,0.7736,4.8128,161.0108,94.4002,508.9818,0.8532
Compound_25,Lot_2,103.267,886.6256,9.204,1.2337,0.7976,4.6556,156.3049,92.5064,473.8203,0.8285
Compound_25,Lot_3,102.4406,894.9417,9.4734,1.2966,0.8227,4.8639,154.0938,93.9568,480.7562,0.8505
Compound_26,Lot_1,89.2858,719.8189,8.48,1.1574,0.9195,2.6861,286.222,75.6284,339.2587,0.098
Compound_26,Lot_2,84.8343,685.9771,8.6337,1.1585,0.9062,2.7065,296.2929,74.9758,332.5557,0.0937
Compound_26,Lot_3,82.8401,687.1392,8.7607,1.0866,0.9505,2.917,280.2438,72.3035,334.9631,0.1014
Compound_27,Lot_1,95.9375,857.3351,2.1852,1.5792,1.4407,3.5643,224.2963,75.2761,236.9439,0.3045
Compound_27,Lot_2,88.1739,922.3335,2.2862,1.5115,1.4452,3.8045,233.9802,72.2518,248.3351,0.2966
Compound_27,Lot_3,92.5327,932.0411,2.1477,1.5064,1.4194,3.581,233.3964,74.3007,243.2608,0.3028
Compound_28,Lot_1,95.7176,847.9746,8.3624,2.2987,1.1162,2.5576,249.0466,67.142,379.5651,0.7727
Compound_28,Lot_2,100.2789,805.4286,9.1216,2.3326,1.1718,2.4605,261.2174,67.0057,384.1744,0.8351
Compound_28,Lot_3,99.8557,846.0927,9.2315,2.3769,1.1243,2.4863,245.4395,67.4315,390.7079,0.8025
Compound_29,Lot_1,93.2825,727.8742,4.291,0.7243,1.2597,0.1879,171.5772,57.1961,215.3204,0.5745
Compound_29,Lot_2,95.4496,709.1822,4.1789,0.7224,1.2555,0.1779,166.6566,58.6406,222.8228,0.6019
Compound_29,Lot_3,95.6299,697.6714,4.3489,0.7217,1.1659,0.1726,172.7335,61.1741,222.5983,0.5914
Compound_30,Lot_1,81.8977,615.0727,8.0383,1.2317,0.8458,2.5643,252.9831,28.8435,364.517,0.0832
Compound_30,Lot_2,79.1152,619.0483,8.6198,1.2202,0.923,2.49,252.7382,28.5265,362.5761,0.0845
Compound_30,Lot_3,83.2924,621.6922,8.1278,1.271,0.8664,2.5432,250.1188,28.2605,339.4546,0.0853
Compound_31,Lot_1,83.7079,732.6396,5.898,1.8074,1.3552,5.0926,184.1773,39.6671,415.2949,0.2603
Compound_31,Lot_2,82.7295,796.829,6.009,1.6845,1.3075,4.9359,182.4767,39.9285,420.4993,0.2633
Compound_31,Lot_3,84.6132,774.345,5.7155,1.7386,1.3632,5.0691,177.3814,37.2662,399.194,0.2649
Compound_32,Lot_1,89.9263,628.7899,1.2465,2.4828,1.3184,3.3426,150.1008,24.7164,155.666,0.2537
Compound_32,Lot_2,91.5796,639.2923,1.269,2.4703,1.4176,3.4006,159.7456,24.7889,157.9285,0.2449
Compound_32,Lot_3,93.0,653.9867,1.2663,2.4614,1.3878,3.6438,155.2182,26.7385,159.5877,0.246
Compound_33,Lot_1,94.2073,785.8649,7.2495,1.0608,1.5306,3.6298,192.6628,64.9386,271.2363,0.2478
Compound_33,Lot_2,95.2298,830.0247,6.7674,1.1034,1.4378,3.6426,181.0865,67.6518,262.1112,0.2417
Compound_33,Lot_3,94.8035,839.2615,6.6909,1.0885,1.5286,3.5345,194.7232,65.3585,272.3718,0.2475
Compound_34,Lot_1,88.8433,788.8036,1.1597,0.6959,0.8283,0.193,272.4082,71.9636,288.3402,0.0971
Compound_34,Lot_2,89.494,825.79,1.1627,0.6989,0.8063,0.201,275.6673,70.2117,276.4345,0.0944
Compound_34,Lot_3,88.3497,818.9932,1.1668,0.6988,0.8067,0.196,267.214,74.6879,278.7843,0.1021
Compound_35,Lot_1,88.4021,757.858,2.5662,1.332,1.1164,3.178,206.6003,14.2048,243.7993,0.6378
Compound_35,Lot_2,88.1145,767.572,2.4877,1.3035,1.054,2.9848,208.943,13.6628,256.4258,0.6097
Compound_35,Lot_3,91.6892,747.8629,2.6845,1.4385,1.1189,3.1601,206.3996,14.4366,261.26,0.5961
Compound_36,Lot_1,90.4015,832.7839,6.9701,0.8272,0.8554,3.2264,59.2356,63.0473,492.5738,0.5651
Compound_36,Lot_2,89.5025,854.4146,6.7767,0.82,0.8574,3.2357,57.4026,61.7906,467.3219,0.5819
Compound_36,Lot_3,86.7536,835.786,6.6127,0.7945,0.8272,3.0558,55.1883,63.692,455.1947,0.5719
Compound_37,Lot_1,91.3854,816.0886,5.0204,1.6575,1.4341,1.8475,304.6424,94.865,177.7125,0.0706
Compound_37,Lot_2,89.2627,768.7627,4.9664,1.5852,1.519,1.8354,298.5011,87.4323,177.9317,0.0704
Compound_37,Lot_3,89.399,757.9778,5.0783,1.6033,1.3957,1.8596,295.0507,91.6779,172.2897,0.0696
Compound_38,Lot_1,85.4049,576.1403,1.8764,1.7903,0.808,1.5345,259.2062,12.4555,416.4986,0.2854
Compound_38,Lot_2,81.2913,589.3846,1.8526,1.9256,0.8783,1.6451,257.0028,12.4448,413.5348,0.2886
Compound_38,Lot_3,85.6976,576.0286,1.839,1.8976,0.8672,1.5385,273.5544,12.2294,411.498,0.2684
Compound_39,Lot_1,84.693,775.0173,6.4209,2.2668,1.3286,4.0951,119.2267,26.6813,419.2362,0.7883
Compound_39,Lot_2,84.0321,843.684,6.7841,2.2907,1.2787,4.0341,121.2635,26.4897,420.1353,0.7692
Compound_39,Lot_3,78.7793,774.8753,6.8218,2.1682,1.3311,3.9495,119.9957,25.2316,414.9034,0.8138
Compound_40,Lot_1,104.2472,729.1892,4.1864,1.9825,1.0898,4.7549,252.6739,49.6006,396.8338,0.74
Compound_40,Lot_2,96.3572,748.3919,4.1603,2.0069,1.0189,4.4923,264.8166,46.2364,392.3821,0.7872
Compound_40,Lot_3,97.9189,713.6902,4.3383,2.0626,1.0711,4.506,274.4364,49.8619,409.2638,0.7233
Compound_41,Lot_1,78.1346,878.9563,5.7515,2.1682,0.9946,4.2966,150.2401,11.2235,447.0161,0.087
Compound_41,Lot_2,81.3074,877.9729,5.6643,2.2166,1.0353,4.3057,149.9894,11.5116,480.8941,0.0947
Compound_41,Lot_3,80.4366,892.6079,5.7449,2.1883,0.9985,4.6833,146.5756,10.5735,444.1159,0.0926
Compound_42,Lot_1,85.8519,849.131,9.7898,1.6994,1.27,2.1733,125.6399,37.6434,361.8184,0.7448
Compound_42,Lot_2,89.2862,875.3197,9.0928,1.6256,1.2419,2.3406,128.738,38.3169,357.3916,0.7271
Compound_42,Lot_3,88.886,841.302,9.2036,1.6563,1.2106,2.1487,121.5723,38.6863,369.4198,0.7885
Compound_43,Lot_1,92.2297,826.2386,1.8986,1.5462,0.8311,2.8047,153.7701,91.8005,251.7361,0.1175
Compound_43,Lot_2,95.8155,810.722,1.8443,1.5035,0.8528,2.6197,161.1614,90.7434,233.3399,0.1137
Compound_43,Lot_3,93.6855,854.6088,1.8393,1.5415,0.8228,2.8633,164.2886,88.9463,230.6413,0.1143
Compound_44,Lot_1,86.6448,812.7396,6.4484,0.6783,0.8854,3.4215,67.0325,83.2508,379.9651,0.0806
Compound_44,Lot_2,82.891,854.5058,6.7695,0.7209,0.8247,3.6049,65.6005,80.8188,399.6308,0.0839
Compound_44,Lot_3,83.2943,859.5144,6.881,0.7077,0.8687,3.589,66.3635,81.1748,392.429,0.08
Compound_45,Lot_1,78.7185,879.4032,4.3082,1.2977,1.3961,4.7546,310.4021,80.9364,250.8006,0.0869
Compound_45,Lot_2,80.9182,871.836,4.2532,1.2601,1.3691,4.8153,302.0172,74.0837,239.3287,0.0838
Compound_45,Lot_3,79.1758,907.8649,4.3928,1.2506,1.342,4.8063,306.2695,81.675,258.978,0.084
Compound_46,Lot_1,92.611,781.4463,5.0309,2.2434,0.8566,2.3737,54.0908,51.6924,117.1621,0.1233
Compound_46,Lot_2,96.091,754.5561,4.7448,2.2615,0.8741,2.4199,53.0933,53.6072,124.6575,0.1164
Compound_46,Lot_3,95.8146,793.6254,4.6119,2.2126,0.8829,2.4942,51.3151,53.4596,124.312,0.1238
Compound_47,Lot_1,79.6238,814.7382,7.389,1.6809,1.4816,1.8491,125.6141,83.8,189.8223,0.936
Compound_47,Lot_2,84.3552,758.4448,7.9656,1.7265,1.5231,1.805,123.0135,83.8882,196.0318,0.9847
Compound_47,Lot_3,82.6066,813.0865,7.3972,1.6748,1.4432,1.9584,125.7665,90.2268,197.6569,0.9484
Compound_48,Lot_1,83.4567,875.3894,1.4224,2.3339,1.1127,4.8911,65.1605,62.8251,469.2938,0.5253
Compound_48,Lot_2,82.5714,864.3438,1.3879,2.3045,1.1293,5.0982,67.0765,58.1205,490.5629,0.5184
Compound_48,Lot_3,83.6124,924.8221,1.3877,2.2479,1.1486,4.8447,68.7549,61.6753,478.4902,0.5069
Compound_49,Lot_1,92.363,773.867,5.1925,1.7632,1.2086,4.42,63.8431,33.8448,497.9175,0.8793
Compound_49,Lot_2,96.1142,827.2204,4.8885,1.8184,1.231,4.2991,59.1124,35.7686,487.9674,0.9123
Compound_49,Lot_3,94.6293,821.6207,5.2255,1.7732,1.1801,4.696,58.4038,34.8191,491.1494,0.8838
Compound_50,Lot_1,84.8758,751.9244,3.552,0.9209,1.1308,1.7712,192.3508,16.5864,466.2998,0.9638
Compound_50,Lot_2,88.6565,762.2976,3.3556,0.8992,1.1694,1.8473,198.2217,16.2397,501.5565,0.9477
Compound_50,Lot_3,90.6226,807.9993,3.5791,0.9198,1.1518,1.8042,191.2423,17.7221,474.0653,1.0261
Compound_51,Lot_1,92.1998,732.6917,3.9138,2.024,1.3215,0.7907,288.4149,85.639,487.8955,0.7159
Compound_51,Lot_2,89.8202,785.943,3.6653,2.1028,1.2918,0.8086,269.3609,81.0101,461.8388,0.752
Compound_51,Lot_3,89.5585,797.1227,3.6757,2.047,1.2888,0.776,280.5754,86.9763,458.2227,0.7475
Compound_52,Lot_1,91.2963,700.7671,9.0859,2.3234,0.7996,0.1348,144.7577,79.1265,493.1519,0.1552
Compound_52,Lot_2,94.3572,724.6562,9.7281,2.1453,0.8661,0.1345,147.1217,85.5869,497.0785,0.153
Compound_52,Lot_3,92.8291,714.9818,9.4547,2.1759,0.827,0.1272,138.6851,81.4723,512.3302,0.1486
Compound_53,Lot_1,94.1587,691.0704,9.6565,2.096,1.3369,2.3675,155.352,33.618,122.2366,0.8961
Compound_53,Lot_2,88.8866,679.9287,9.8779,2.0827,1.4536,2.3657,153.245,34.3677,123.4455,0.8293
Compound_53,Lot_3,95.831,723.2442,9.4225,2.1936,1.3361,2.2271,155.706,35.1239,123.5757,0.8373
Compound_54,Lot_1,97.2556,860.0095,10.0789,1.6187,1.3588,4.9067,271.6037,33.8106,293.5652,0.1327
Compound_54,Lot_2,100.6535,932.9726,10.1969,1.5416,1.2777,4.8793,262.1386,33.2749,274.9776,0.1279
Compound_54,Lot_3,98.187,937.2961,9.559,1.6682,1.3772,4.6329,258.6107,30.7969,266.6501,0.1289
Compound_55,Lot_1,95.0726,757.9255,3.1661,1.8531,1.2495,1.7341,80.9664,73.032,308.8388,0.8042
Compound_55,Lot_2,102.4966,799.9361,3.1316,1.7674,1.2047,1.7125,74.5386,68.0331,319.8436,0.7522
Compound_55,Lot_3,103.7383,789.4567,2.9796,1.8395,1.1984,1.8766,81.1122,67.1028,321.9169,0.7894
Compound_56,Lot_1,86.6247,870.2506,6.0577,1.5744,1.4505,1.9366,83.4119,11.973,420.8956,0.6359
Compound_56,Lot_2,87.316,842.1028,5.7674,1.6632,1.3516,2.0888,87.1923,12.8124,390.5098,0.6116
Compound_56,Lot_3,90.1942,864.6022,6.0707,1.6288,1.393,2.099,80.0046,12.5475,413.1291,0.5931
Compound_57,Lot_1,96.0118,685.1153,2.2659,0.5042,1.0116,2.9034,144.117,51.6541,468.6585,0.3412
Compound_57,Lot_2,98.1226,679.8628,2.182,0.5236,1.0136,3.089,148.3161,51.3253,454.5735,0.3609
Compound_57,Lot_3,89.883,695.8955,2.3219,0.5227,1.0737,3.0244,154.001,48.4184,460.0682,0.361
Compound_58,Lot_1,92.795,826.2034,4.728,1.6612,1.4436,4.6107,84.9142,93.3266,295.3579,0.2587
Compound_58,Lot_2,90.6842,821.0309,4.4216,1.7867,1.39,4.7528,88.0255,97.2156,303.0112,0.2465
Compound_58,Lot_3,93.3365,875.966,4.5574,1.8217,1.4106,4.7308,85.3071,94.8614,288.8297,0.248
Compound_59,Lot_1,84.9639,875.4486,5.3734,1.166,1.2172,1.2581,67.5337,21.4725,145.2207,0.1483
Compound_59,Lot_2,85.152,899.3301,5.5663,1.1247,1.2266,1.142,71.3117,22.2047,144.6155,0.1498
Compound_59,Lot_3,93.2402,884.3571,5.4442,1.1432,1.2549,1.2574,72.4013,22.1934,149.773,0.1518
Compound_60,Lot_1,81.594,830.7301,2.6948,1.1839,1.3583,2.3749,227.3859,25.5688,171.3015,0.0389
Compound_60,Lot_2,81.5772,825.3945,2.7711,1.243,1.4608,2.3838,218.8569,25.6095,180.5831,0.0406
Compound_60,Lot_3,84.1807,762.2818,2.5781,1.23,1.4857,2.3792,206.7316,26.5992,180.4949,0.0405
Compound_61,Lot_1,84.2003,678.7795,2.581,0.7063,0.854,2.2088,96.5287,41.9843,290.7441,0.6711
Compound_61,Lot_2,79.3047,664.9316,2.5467,0.6481,0.8935,2.3158,97.4867,43.1865,316.3979,0.7211
Compound_61,Lot_3,79.2333,703.7715,2.5521,0.6503,0.866,2.259,101.8161,43.4691,308.8758,0.6729
Compound_62,Lot_1,79.3501,823.7275,6.5587,0.693,1.4512,4.8185,66.5304,34.5927,417.8219,0.7474
Compound_62,Lot_2,80.1184,867.3935,6.6267,0.6465,1.4508,4.763,64.7506,35.506,403.8404,0.7505
Compound_62,Lot_3,77.1139,800.2805,6.7251,0.647,1.4462,4.7822,62.9163,35.704,423.0934,0.7193
Compound_63,Lot_1,84.9587,670.0555,4.3368,1.5327,1.2356,1.9303,165.7829,74.3017,114.3314,0.2444
Compound_63,Lot_2,84.5029,675.6008,4.3163,1.4109,1.2291,1.763,168.6466,79.5137,119.9721,0.2435
Compound_63,Lot_3,83.9613,667.2764,4.5129,1.4887,1.1893,1.8283,168.1933,78.8176,118.8334,0.2443
Compound_64,Lot_1,98.5267,830.2686,5.8814,1.6158,0.889,2.2926,175.3239,30.361,199.4287,0.3617
Compound_64,Lot_2,94.7167,843.8446,5.8121,1.5515,0.8921,2.2742,179.8506,31.0028,204.4278,0.3885
Compound_64,Lot_3,95.0833,847.1534,5.7883,1.4905,0.8924,2.2264,187.3861,33.1802,212.8932,0.3751
Compound_65,Lot_1,77.5938,717.961,2.8886,1.1012,0.9034,4.3574,189.4499,73.9844,414.9676,0.4875
Compound_65,Lot_2,82.1397,723.5027,2.7551,1.1716,0.9076,4.3209,198.1941,68.199,425.9267,0.5157
Compound_65,Lot_3,77.2498,718.6653,2.9788,1.1324,0.9008,4.2275,206.9669,71.4783,420.6721,0.5066
Compound_66,Lot_1,82.2416,788.2844,6.3489,2.0711,1.1111,0.619,125.9416,43.4552,365.5101,0.5985
Compound_66,Lot_2,78.2677,755.695,6.1162,2.016,1.1358,0.6698,120.3909,43.9016,373.3159,0.5813
Compound_66,Lot_3,79.6371,769.3391,6.5751,2.087,1.1177,0.6648,117.316,41.5963,374.6001,0.55
Compound_67,Lot_1,84.4289,888.8316,6.5078,0.9801,0.8529,0.792,116.1179,24.196,173.4825,0.2909
Compound_67,Lot_2,88.54,885.4044,6.3947,0.9553,0.848,0.7568,113.5686,25.0519,179.5,0.2815
Compound_67,Lot_3,89.4255,851.7363,6.4352,0.9985,0.8823,0.758,113.1026,25.4554,175.7892,0.2936
Compound_68,Lot_1,87.4828,886.8945,1.7326,1.4783,1.0734,4.9421,80.3285,45.5265,510.2312,0.8457
Compound_68,Lot_2,85.5114,861.9936,1.7176,1.5969,1.0648,4.712,78.168,45.9419,502.2855,0.906
Compound_68,Lot_3,79.7581,876.9981,1.7512,1.6253,1.1351,5.0143,78.18,44.2594,482.1402,0.8729
Compound_69,Lot_1,98.5096,686.5416,2.5944,1.827,1.484,2.681,186.3913,34.0132,423.7395,0.1791
Compound_69,Lot_2,99.2447,659.3229,2.532,1.9165,1.4635,2.6994,188.7351,36.68,404.8289,0.1886
Compound_69,Lot_3,95.954,669.1358,2.4697,1.8743,1.4827,2.7174,198.475,36.448,424.9551,0.1807
Compound_70,Lot_1,84.7745,753.8504,5.4021,0.9313,0.9126,2.9971,121.1155,61.9756,167.3833,0.4733
Compound_70,Lot_2,89.862,736.1388,5.5852,0.9629,0.8574,3.0878,121.5113,64.8679,161.6148,0.4817
Compound_70,Lot_3,85.7499,748.6776,5.5281,0.9574,0.9119,3.0795,123.2779,63.0005,165.2897,0.4721
Compound_71,Lot_1,86.4243,634.6686,3.8804,0.7871,0.8087,4.8883,124.8836,83.0741,204.9512,0.6591
Compound_71,Lot_2,89.4863,642.0334,4.0068,0.7933,0.8801,5.1848,135.7917,81.3765,211.1975,0.7028
Compound_71,Lot_3,93.7065,585.7065,4.2131,0.7914,0.8666,4.7429,127.0976,86.7217,201.8737,0.6745
Compound_72,Lot_1,98.4362,746.5566,5.1965,1.3036,1.0283,4.5606,250.1801,93.6821,151.8222,0.7616
Compound_72,Lot_2,95.2843,762.9585,5.0614,1.3636,1.0932,4.5799,252.2638,97.833,153.8422,0.7276
Compound_72,Lot_3,96.4383,795.5525,5.4814,1.2758,1.0959,4.5999,263.4008,97.5513,149.5204,0.7454
Compound_73,Lot_1,97.7404,629.9038,1.5982,1.9843,1.1662,4.3934,82.6252,80.8296,174.4163,0.1643
Compound_73,Lot_2,96.87,653.668,1.5559,1.8916,1.2356,4.2694,83.5872,77.8789,187.2541,0.1583
Compound_73,Lot_3,103.0244,652.9693,1.5745,2.0279,1.2473,4.1556,84.153,81.0248,188.2793,0.1669
Compound_74,Lot_1,81.1881,817.7723,6.8015,1.5134,1.0226,4.4596,142.4216,82.5496,279.0971,0.369
Compound_74,Lot_2,79.6692,809.0605,6.7286,1.6021,1.0676,4.1988,146.4966,81.6414,277.8012,0.3778
Compound_74,Lot_3,83.1328,828.708,6.7368,1.5876,1.0909,4.585,141.5727,85.493,281.8936,0.3938
Compound_75,Lot_1,87.0448,707.1303,7.3857,1.5298,0.9486,4.621,151.2732,58.1235,463.7736,0.6003
Compound_75,Lot_2,88.5084,680.7995,7.4851,1.5696,0.9291,4.5611,151.6649,61.3473,476.155,0.604
Compound_75,Lot_3,92.0831,674.9838,8.0565,1.5416,0.9905,4.3133,147.1781,60.8122,479.3168,0.5948
Compound_76,Lot_1,85.956,841.6748,6.7262,1.1926,0.8618,3.7906,210.8613,57.341,439.583,0.8093
Compound_76,Lot_2,85.215,889.657,6.4247,1.1133,0.915,3.9899,208.1116,59.8268,454.5505,0.759
